movieCd,title,openDt,ott_release_dt,ott_release_platform,budget,genre,watch_grade_nm,show_tm,is_original_ip,is_followup,nation_nm,distributor_nm,director_nm,director_nm_star_meter,actor1_nm,actor1_nm_star_meter,actor2_nm,actor2_nm_star_meter,actor3_nm,actor3_nm_star_meter,Unnamed: 21,director_score,actor1_score,actor2_score,actor3_score,Anchor_score,Support_score,Star_index,open_year,gamma,genre_en,Genre,TFS,ONS,TFS_norm,ONS_norm,cannibalization_coef
20192995,보호자,2023-08-15,20240501,Netflix,8000000000,액션,15,97,0,0,한국,(주)영화사테이크,정우성,13151,정우성,13151,김남길,19660,김준한,93302,,3.580011227,3.580011227,3.405386491,2.729079051,3.580011227,3.238158923,15.17265652,2023,0.7713988809993032,Action,Action,8.4,4.2,0.8400000000000001,0.42000000000000004,0.08665854772891247
20202026,마루이 비디오,2023-02-22,20230519,Netflix,3000000000,미스터리,15,87,1,0,한국,(주)발포플랜,윤준형,268547,서현우,64433,조민경,1080952,서성광,1444499,,2.269949699,2.889861652,1.665163595,1.539252759,2.889861652,1.824788684,8.163248493,2023,0.7713988809993032,Drama,Drama,4.7,9.4,0.47000000000000003,0.9400000000000001,0.3921756988330451
20193879,비공식작전,2023-08-02,20231009,Netflix,20000000000,드라마,12,132,0,0,한국,(주)와인드업필름,김성훈,45551,하정우,17678,주지훈,19025,권은성,1770427,,3.040472089,3.451536875,3.419645339,1.45089198,3.451536875,2.637003136,12.55325044,2023,0.7713988809993032,Drama,Drama,4.7,9.4,0.47000000000000003,0.9400000000000001,0.3921756988330451
20227684,멍뭉이,2023-03-01,20230525,Wavve,3000000000,드라마,0,113,0,0,한국,(주)와이웍스엔터테인먼트,김주환,155905,유연석,8592,차태현,33544,정인선,43731,,2.506109961,3.764875736,3.173355155,3.058180596,3.764875736,2.912548571,14.73025918,2023,0.7713988809993032,Drama,Drama,4.7,9.4,0.47000000000000003,0.9400000000000001,0.3921756988330451
20226411,범죄도시3,2023-05-31,20230707,Netflix,13500000000,범죄,15,105,0,1,한국,주식회사 빅펀치픽쳐스,이상용,34836,마동석,2581,이준혁,22318,아오키 무네타카,39613,,3.156941722,4.287182,3.350314731,3.10113227,4.287182,3.202796241,18.01815239,2023,0.7713988809993032,Thriller,Thriller,4.9,9.6,0.49000000000000005,0.96,0.38126709643407103
20231773,빈틈없는 사이,2023-07-05,20230727,Wavve (with IPTV),2000000000,멜로/로맨스,15,112,1,0,한국,(주)갤리온엔터테인먼트,이우철,408552,이지훈,"79,929",한승연,2206043,고규필,47839,,2.087722663,2.796265625,1.355356031,3.019187912,3.019187912,2.07978144,9.298438893,2023,0.7713988809993032,Drama,Drama,4.7,9.4,0.47000000000000003,0.9400000000000001,0.3921756988330451
20233014,타겟,2023-08-30,20231213,Netflix,4500000000,스릴러,15,101,0,0,한국,(주)영화사피어나,박희곤,140009,신혜선,2829,김성균,11253,임성재,118843,,2.552814051,4.247337057,3.647701685,2.623996398,4.247337057,2.941504045,16.74089619,2023,0.7713988809993032,Thriller,Thriller,4.9,9.6,0.49000000000000005,0.96,0.38126709643407103
20233235,가문의 영광: 리턴즈,2023-09-21,20231006,Wavve (with IPTV),4000000000,코미디,15,99,0,1,한국,(주)태원엔터테인먼트,정용기,284671,윤현민,40507,유라,2279221,김수미,179742,,2.244626777,3.091439924,1.341183567,2.444320435,3.091439924,2.010043593,9.305368937,2023,0.7713988809993032,Comedy,Comedy,4.4,5.8,0.44000000000000006,0.58,0.337480118972455
20211937,귀공자,2023-06-21,20230621,Coupang play,9150000000,액션,19,118,0,0,한국,(주)영화사 금월,박훈정,19435,김선호,6220,강태주,52186,김강우,43289,,3.410385459,3.90517962,2.981415994,3.062592451,3.90517962,3.151464635,16.21221508,2023,0.7713988809993032,Action,Action,8.4,4.2,0.8400000000000001,0.42000000000000004,0.08665854772891247
20200154,킬링 로맨스,2023-04-14,20230518,Wavve,7500000000,코미디,15,107,0,0,한국,(주)영화사 이창,이원석,165882,이하늬,20961,이선균,14487,공명,73280,,2.479170741,3.377558006,3.537991544,2.833984544,3.537991544,2.89690443,13.78721492,2023,0.7713988809993032,Comedy,Comedy,4.4,5.8,0.44000000000000006,0.58,0.337480118972455
20226489,리바운드,2023-04-05,20230712,Wavve,7000000000,드라마,12,122,0,0,한국,(주)비에이엔터테인먼트,장항준,57985,안재홍,57956,이신영,28510,정진운,167951,,2.935654343,2.935871601,3.243972787,2.47378741,3.243972787,2.781771118,12.26796259,2023,0.7713988809993032,Drama,Drama,4.7,9.4,0.47000000000000003,0.9400000000000001,0.3921756988330451
20214823,유령,2023-01-18,20230228,Tving,13700000000,드라마,15,133,1,0,한국,더램프(주),이해영,100506,설경구,27941,이하늬,20183,박소담,7973,,2.696778015,3.252728059,3.393984284,3.79734824,3.79734824,3.114496786,15.62417713,2023,0.7713988809993032,Drama,Drama,4.7,9.4,0.47000000000000003,0.9400000000000001,0.3921756988330451
20231523,그 여름,2023-06-07,20230628,Tving,56000000,애니메이션,12,61,1,0,한국,(주)레드독컬처하우스,한지원,789135,윤아영,391503,송하림,1365127,이다슬,11819211,,1.801818699,2.10623491,1.563796948,0.6263815185,2.10623491,1.330665722,4.908929507,2023,0.7713988809993032,Animation,Animation,8.7,6.8,0.8699999999999999,0.6799999999999999,0.08330205468307443
20225865,옥수역귀신,2023-04-19,20230721,Wavve,1750000000,공포(호러),15,80,1,0,한국,(주)영화사조아,정용기,230161,김보라,105152,김재현,320658,신소율,150294,,2.336938269,2.677152467,2.192927925,2.522028361,2.677152467,2.350631518,8.970151435,2023,0.7713988809993032,Horror,Horror,7.2,6.8,0.72,0.6799999999999999,0.17941981008662172
20210544,웅남이,2023-03-22,20230720,Netflix,4000000000,코미디,15,97,0,0,한국,(주)영화사김치,박성광,435744,박성웅,28537,최민수,45413,오달수,66672,,2.059738589,3.243561689,3.041789812,2.875026521,3.243561689,2.658851641,11.86771101,2023,0.7713988809993032,Comedy,Comedy,4.4,5.8,0.44000000000000006,0.58,0.337480118972455
