rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt,year
1,1,0,OLD,20212866,서울의 봄,2023-11-22,2159968025,85.0,-81864000,-3.7,22751385820,232277,-7389,-3.1,2364698,2241,8604,20231128,2023
2,2,0,OLD,20235030,프레디의 피자가게,2023-11-15,74504147,2.9,6803486,10.0,5610800521,8075,1059,15.1,575961,558,1181,20231128,2023
3,3,0,OLD,20234664,그대들은 어떻게 살 것인가,2023-10-25,52593568,2.1,6380331,13.8,19133130141,5696,724,14.6,1960666,486,729,20231128,2023
4,4,0,OLD,20234797,헝거게임: 노래하는 새와 뱀의 발라드,2023-11-15,31157181,1.2,7561390,32.0,1717690975,3606,981,37.4,175111,338,420,20231128,2023
5,5,1,OLD,20235034,더 마블스,2023-11-08,27568547,1.1,9576273,53.2,6785010630,3161,1115,54.5,683904,390,502,20231128,2023
6,6,1,OLD,20234957,스노우 폭스: 썰매개가 될 거야!,2023-11-23,16938556,0.7,4180544,32.8,417979069,2366,771,48.3,48662,206,216,20231128,2023
7,7,3,OLD,20230966,사채소년,2023-11-22,12246700,0.5,3314400,37.1,146897100,1868,798,74.6,18483,194,312,20231128,2023
8,8,0,OLD,20228313,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-11-30,9791600,0.4,-155960,-1.6,11839666686,1267,-15,-1.2,1163319,99,177,20231128,2023
9,9,3,OLD,20228819,30일,2023-10-03,9723967,0.4,1327595,15.8,21238216241,1142,218,23.6,2163199,143,182,20231128,2023
10,10,5,OLD,20144741,매드 맥스: 분노의 도로,2015-05-14,10416000,0.4,2385000,29.7,33883031962,1069,241,29.1,3930024,44,183,20231128,2023
1,1,0,OLD,20212866,서울의 봄,2023-11-22,2241832025,87.4,-3897682905,-63.5,20591417795,239666,-385514,-61.7,2132421,2176,8498,20231127,2023
2,2,0,OLD,20235030,프레디의 피자가게,2023-11-15,67700661,2.6,-564010316,-89.3,5536296374,7016,-56884,-89.0,567886,552,1199,20231127,2023
3,3,1,OLD,20234664,그대들은 어떻게 살 것인가,2023-10-25,46213237,1.8,-79461489,-63.2,19080536573,4972,-7837,-61.2,1954970,474,719,20231127,2023
4,4,2,OLD,20234797,헝거게임: 노래하는 새와 뱀의 발라드,2023-11-15,23595791,0.9,-35037399,-59.8,1686533794,2625,-3436,-56.7,171505,316,403,20231127,2023
5,5,0,NEW,20190324,3일의 휴가,2023-12-06,23193000,0.9,23193000,100.0,26694000,2493,2493,100.0,2882,8,8,20231127,2023
6,6,2,OLD,20235034,더 마블스,2023-11-08,17992274,0.7,-34365597,-65.6,6757442083,2046,-3445,-62.7,680743,358,476,20231127,2023
7,7,-4,OLD,20234957,스노우 폭스: 썰매개가 될 거야!,2023-11-23,12758012,0.5,-133015157,-91.2,401040513,1595,-15130,-90.5,46296,204,215,20231127,2023
8,8,-1,OLD,20228313,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-11-30,9947560,0.4,-33284980,-77.0,11829875086,1282,-4544,-78.0,1162052,92,173,20231127,2023
9,9,4,OLD,20217425,더 와일드: 야수들의 전쟁,2023-11-15,7900300,0.3,-8494300,-51.8,356404500,1079,-1056,-49.5,40621,133,204,20231127,2023
10,10,1,OLD,20230966,사채소년,2023-11-22,8932300,0.3,-12138100,-57.6,134650400,1070,-1402,-56.7,16615,186,296,20231127,2023
1,1,0,OLD,20212866,서울의 봄,2023-11-22,6139514930,80.3,275612070,4.7,18349585770,625180,30744,5.2,1892755,2328,9427,20231126,2023
2,2,0,OLD,20235030,프레디의 피자가게,2023-11-15,631710977,8.3,-98816602,-13.5,5468595713,63900,-9688,-13.2,560870,723,1841,20231126,2023
3,3,0,OLD,20234957,스노우 폭스: 썰매개가 될 거야!,2023-11-23,145773169,1.9,6692869,4.8,388282501,16725,1051,6.7,44701,479,613,20231126,2023
4,4,0,OLD,20234664,그대들은 어떻게 살 것인가,2023-10-25,125674726,1.6,-8017753,-6.0,19034323336,12809,-696,-5.2,1949998,490,756,20231126,2023
5,5,2,OLD,20234293,이빨요정 비올레타: 요정나라로 돌아갈래!,2023-11-18,64496800,0.8,5612800,9.5,347130400,7060,590,9.1,41317,247,314,20231126,2023
6,6,-1,OLD,20234797,헝거게임: 노래하는 새와 뱀의 발라드,2023-11-15,58633190,0.8,-10194487,-14.8,1662938003,6061,-958,-13.6,168880,355,431,20231126,2023
7,7,1,OLD,20228313,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-11-30,43232540,0.6,251100,0.6,11819927526,5826,64,1.1,1160770,110,208,20231126,2023
8,8,-2,OLD,20235034,더 마블스,2023-11-08,52357871,0.7,-14047428,-21.2,6739449809,5491,-1333,-19.5,678697,443,584,20231126,2023
9,9,4,OLD,20161872,너의 이름은.,2017-01-04,22358550,0.3,4553900,25.6,31464034132,2934,624,27.0,3885303,64,82,20231126,2023
10,10,-1,OLD,20202247,싱글 인 서울,2023-11-29,32424117,0.4,-9090826,-21.9,188986060,2740,-782,-22.2,18846,13,15,20231126,2023
1,1,0,OLD,20212866,서울의 봄,2023-11-22,5863902860,78.1,3209918300,120.9,12210070840,594436,319826,116.5,1267575,2322,9641,20231125,2023
2,2,0,OLD,20235030,프레디의 피자가게,2023-11-15,730527579,9.7,522618645,251.4,4836884736,73588,52505,249.0,496970,733,1909,20231125,2023
3,3,4,OLD,20234957,스노우 폭스: 썰매개가 될 거야!,2023-11-23,139080300,1.9,115145484,481.1,242509332,15674,12567,404.5,27976,475,609,20231125,2023
4,4,-1,OLD,20234664,그대들은 어떻게 살 것인가,2023-10-25,133692479,1.8,58302449,77.3,18908648610,13505,5670,72.4,1937189,483,787,20231125,2023
5,5,0,OLD,20234797,헝거게임: 노래하는 새와 뱀의 발라드,2023-11-15,68827677,0.9,24330675,54.7,1604304813,7019,2286,48.3,162819,368,458,20231125,2023
6,6,-2,OLD,20235034,더 마블스,2023-11-08,66405299,0.9,15719696,31.0,6687091938,6824,1379,25.3,673206,471,632,20231125,2023
7,7,4,OLD,20234293,이빨요정 비올레타: 요정나라로 돌아갈래!,2023-11-18,58884000,0.8,45291000,333.2,282633600,6470,4614,248.6,34257,239,320,20231125,2023
8,8,0,OLD,20228313,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-11-30,42981440,0.6,21709840,102.1,11776694986,5762,2938,104.0,1154944,109,215,20231125,2023
9,9,0,NEW,20202247,싱글 인 서울,2023-11-29,41514943,0.6,41514943,100.0,156561943,3522,3522,100.0,16106,12,16,20231125,2023
10,10,-1,OLD,20230966,사채소년,2023-11-22,20692100,0.3,3545200,20.7,104647700,2443,186,8.2,13073,195,350,20231125,2023
1,1,0,OLD,20212866,서울의 봄,2023-11-22,2653984560,78.6,988465212,59.3,6346167980,274610,95526,53.3,673139,2204,8786,20231124,2023
2,2,0,OLD,20235030,프레디의 피자가게,2023-11-15,207908934,6.2,79618365,62.1,4106357157,21083,7684,57.3,423382,648,1483,20231124,2023
3,3,1,OLD,20234664,그대들은 어떻게 살 것인가,2023-10-25,75390030,2.2,19527136,35.0,18774956131,7835,1736,28.5,1923684,490,786,20231124,2023
4,4,2,OLD,20235034,더 마블스,2023-11-08,50685603,1.5,18410495,57.0,6620686639,5445,1799,49.3,666382,500,703,20231124,2023
5,5,0,OLD,20234797,헝거게임: 노래하는 새와 뱀의 발라드,2023-11-15,44497002,1.3,10192237,29.7,1535477136,4733,1052,28.6,155800,390,517,20231124,2023
6,6,-3,OLD,20234114,괴물,2023-11-29,28593000,0.8,-81277000,-74.0,196486000,3177,-9053,-74.0,21761,16,16,20231124,2023
7,7,1,OLD,20234957,스노우 폭스: 썰매개가 될 거야!,2023-11-23,23934816,0.7,6353422,36.1,103429032,3107,818,35.7,12302,260,269,20231124,2023
8,8,1,OLD,20228313,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-11-30,21271600,0.6,5464210,34.6,11733713546,2824,708,33.5,1149182,101,174,20231124,2023
9,9,-2,OLD,20230966,사채소년,2023-11-22,17146900,0.5,147400,0.9,83955600,2257,-58,-2.5,10630,198,403,20231124,2023
10,10,0,OLD,20228819,30일,2023-10-03,19836827,0.6,5962942,43.0,21173385727,2032,419,26.0,2156421,173,232,20231124,2023
1,1,0,OLD,20212866,서울의 봄,2023-11-22,1665519348,72.4,-218908724,-11.6,3692183420,179084,-24729,-12.1,398529,2161,8339,20231123,2023
2,2,0,OLD,20235030,프레디의 피자가게,2023-11-15,128290569,5.6,-9698232,-7.0,3898448223,13399,-1223,-8.4,402299,590,1296,20231123,2023
