movieCd,title,budget,ons,year,platform,platform_mau,platform_beta,holdback_days,digital_fee,digital_fee_billion,fee_ratio
20197654,소울메이트,4000000000,9.4,2023,Netflix,11560000,0.02,0,415321924.997873,4.15321924997873,10.383048124946825
20197654,소울메이트,4000000000,9.4,2023,Netflix,11560000,0.02,30,125845371.42510392,1.2584537142510392,3.1461342856275976
20197654,소울메이트,4000000000,9.4,2023,Netflix,11560000,0.02,60,38132004.490741655,0.38132004490741656,0.9533001122685413
20197654,소울메이트,4000000000,9.4,2023,Netflix,11560000,0.02,90,11554257.022057496,0.11554257022057496,0.2888564255514374
20197654,소울메이트,4000000000,9.4,2023,Tving,4110000,0.15,0,350416203.466232,3.50416203466232,8.7604050866558
20197654,소울메이트,4000000000,9.4,2023,Tving,4110000,0.15,30,124104208.12257868,1.2410420812257867,3.102605203064467
20197654,소울메이트,4000000000,9.4,2023,Tving,4110000,0.15,60,43953031.62747875,0.4395303162747875,1.0988257906869687
20197654,소울메이트,4000000000,9.4,2023,Tving,4110000,0.15,90,15566506.716178605,0.15566506716178605,0.38916266790446513
20197654,소울메이트,4000000000,9.4,2023,Wavve,2930000,0.13,0,348420095.68203783,3.4842009568203784,8.710502392050946
20197654,소울메이트,4000000000,9.4,2023,Wavve,2930000,0.13,30,120470983.51509102,1.2047098351509102,3.0117745878772753
20197654,소울메이트,4000000000,9.4,2023,Wavve,2930000,0.13,60,41654479.89067164,0.4165447989067164,1.0413619972667911
20197654,소울메이트,4000000000,9.4,2023,Wavve,2930000,0.13,90,14402602.5548718,0.144026025548718,0.360065063871795
20227626,화란,4000000000,9.4,2023,Netflix,11560000,0.02,0,415321924.997873,4.15321924997873,10.383048124946825
20227626,화란,4000000000,9.4,2023,Netflix,11560000,0.02,30,125845371.42510392,1.2584537142510392,3.1461342856275976
20227626,화란,4000000000,9.4,2023,Netflix,11560000,0.02,60,38132004.490741655,0.38132004490741656,0.9533001122685413
20227626,화란,4000000000,9.4,2023,Netflix,11560000,0.02,90,11554257.022057496,0.11554257022057496,0.2888564255514374
20227626,화란,4000000000,9.4,2023,Tving,4110000,0.15,0,350416203.466232,3.50416203466232,8.7604050866558
