movieCd,title,budget,ons,digital_fee_netflix_30d,digital_fee_billion_netflix_30d,fee_ratio_netflix_30d
20190808,교섭,15000000000,9.4,471920142.84413975,4.719201428441398,3.1461342856275984
20231042,빅토리,8300000000,9.4,261102334.83376798,2.61102334833768,3.1458112630574457
20239670,베테랑2,13000000000,4.2,349885605.8465897,3.498856058465897,2.691427737281459
20228796,하얼빈,30000000000,9.4,943743378.9172336,9.437433789172335,3.145811263057445
20233217,더 킬러스,200000000,9.4,6291622.52611489,0.0629162252611489,3.145811263057445
20247017,대가족,9200000000,9.4,289414636.20128495,2.8941463620128496,3.145811263057445
20212932,탈주,8000000000,4.2,215314218.9825167,2.153142189825167,2.691427737281459
20208245,핸섬가이즈,4900000000,5.8,138364583.14122024,1.3836458314122024,2.8237670028820454
20200142,소방관,9600000000,9.4,301997881.25351477,3.0199788125351477,3.1458112630574457
20204271,행복의 나라,12000000000,9.4,377497351.56689346,3.774973515668935,3.1458112630574457
20234045,설계자,8000000000,9.6,253179429.49262464,2.531794294926246,3.164742868657808
20249733,사랑의 하츄핑,3000000000,6.8,87292905.32844412,0.8729290532844413,2.9097635109481375
20190300,보고타: 마지막 기회의 땅,13000000000,9.6,411416572.92551506,4.11416572925515,3.1647428686578083
20233218,6시간 후 너는 죽는다,3000000000,9.6,94942286.05973424,0.9494228605973424,3.164742868657808
20231415,소풍,1500000000,9.4,47187168.94586168,0.47187168945861685,3.1458112630574457
20233261,청설,2500000000,9.4,78645281.57643613,0.7864528157643613,3.145811263057445
20247430,퍼스트레이디,100000000,7.4,2962613.4768973715,0.029626134768973713,2.962613476897371
20247574,아메바 소녀들과 학교괴담: 개교기념일,1000000000,5.8,28237670.02882045,0.2823767002882045,2.8237670028820454
20233057,아마존 활명수,4000000000,5.8,112950680.1152818,1.129506801152818,2.8237670028820454
20240925,"안녕, 할부지",100000000,7.4,2962613.4768973715,0.029626134768973713,2.962613476897371
20225184,히든페이스,3000000000,9.6,94942286.05973424,0.9494228605973424,3.164742868657808
20235994,원정빌라,200000000,6.8,5819527.021896274,0.05819527021896274,2.909763510948137
20236319,하와이 연가,200000000,9.4,6291622.52611489,0.0629162252611489,3.145811263057445
20224666,파일럿,6000000000,5.8,169426020.17292273,1.6942602017292272,2.8237670028820454
20232949,대도시의 사랑법,5250000000,9.4,165155091.3105159,1.6515509131051591,3.1458112630574457
20226545,한국이 싫어서,400000000,9.4,12583245.05222978,0.1258324505222978,3.145811263057445
20203557,그녀가 죽었다,4000000000,9.4,125832450.52229781,1.2583245052229781,3.145811263057445
20242794,임영웅│아임 히어로 더 스타디움,250000000,1.4,6186456.962944877,0.06186456962944877,2.474582785177951
20229365,필사의 추격,6000000000,5.8,169426020.17292273,1.6942602017292272,2.8237670028820454
20247074,건국전쟁,250000000,7.4,7406533.692243429,0.07406533692243429,2.9626134768973715
