holdback,theater_revenue,digital_fee,total_profit,theater_revenue_억,digital_fee_억,total_profit_억
30,1242920755.2792668,12752563.032435467,1255673318.3117023,12.429207552792668,0.12752563032435468,12.556733183117023
31,1244268015.008695,12562702.103792818,1256830717.1124878,12.442680150086948,0.1256270210379282,12.568307171124879
32,1245575457.1956477,12375667.836122816,1257951125.0317705,12.455754571956478,0.12375667836122817,12.579511250317704
33,1246844258.626349,12191418.145926185,1259035676.7722752,12.468442586263489,0.12191418145926185,12.590356767722753
34,1248075561.307733,12009911.576245317,1260085472.8839784,12.480755613077331,0.12009911576245318,12.600854728839783
35,1249270473.495329,11831107.287336303,1261101580.7826653,12.49270473495329,0.11831107287336302,12.611015807826652
36,1250430070.6907635,11654965.047479793,1262085035.7382433,12.504300706907635,0.11654965047479793,12.620850357382434
37,1251555396.6097887,11481445.223928722,1263036841.8337173,12.515553966097887,0.11481445223928721,12.630368418337174
38,1252647464.121693,11310508.773990741,1263957972.8956835,12.526474641216929,0.1131050877399074,12.639579728956836
39,1253707256.1609538,11142117.236243479,1264849373.3971972,12.537072561609538,0.11142117236243479,12.648493733971973
40,1254735726.6119447,10976232.721880531,1265711959.333825,12.547357266119446,0.10976232721880531,12.657119593338251
41,1255733801.1674957,10812817.906186331,1266546619.073682,12.557338011674958,0.10812817906186331,12.66546619073682
42,1256702378.1620784,10651836.020137943,1267354214.1822164,12.567023781620783,0.10651836020137943,12.673542141822164
43,1257642329.380369,10493250.842131859,1268135580.2225008,12.576423293803689,0.10493250842131858,12.681355802225008
44,1258554500.8419127,10337026.689833986,1268891527.5317466,12.585545008419128,0.10337026689833986,12.688915275317466
45,1259439713.5625982,10183128.412150983,1269622841.9747493,12.594397135625982,0.10183128412150982,12.696228419747493
46,1260298764.2936277,10031521.381321112,1270330285.674949,12.602987642936277,0.10031521381321112,12.70330285674949
47,1261132426.238647,9882171.485122833,1271014597.72377,12.61132426238647,0.09882171485122833,12.7101459772377
48,1261941449.74968,9735045.119199434,1271676494.8688796,12.6194144974968,0.09735045119199434,12.716764948688796
49,1262726563.002498,9590109.179497883,1272316672.1819959,12.62726563002498,0.09590109179497883,12.72316672181996
50,1263488472.652025,9447331.054820294,1272935803.7068453,12.63488472652025,0.09447331054820293,12.729358037068453
51,1264227864.4683757,9306678.619486269,1273534543.087862,12.642278644683756,0.09306678619486268,12.73534543087862
52,1264945403.9540958,9168120.22610447,1274113524.1802003,12.649454039540958,0.0916812022610447,12.741135241802004
53,1265641736.9431574,9031624.698451845,1274673361.6416092,12.656417369431574,0.09031624698451846,12.746733616416092
54,1266317490.1822548,8897161.324458823,1275214651.5067136,12.663174901822549,0.08897161324458823,12.752146515067137
55,1266973271.894918,8764699.849298984,1275737971.744217,12.669732718949179,0.08764699849298983,12.75737971744217
56,1267609672.3289545,8634210.468581595,1276243882.7975361,12.676096723289545,0.08634210468581595,12.76243882797536
57,1268227264.2877138,8505663.821645483,1276732928.1093593,12.682272642877138,0.08505663821645483,12.767329281093593
58,1268826603.645647,8379030.98495278,1277205634.6305997,12.68826603645647,0.0837903098495278,12.772056346305998
59,1269408229.8486333,8254283.465580993,1277662513.3142142,12.694082298486332,0.08254283465580993,12.776625133142142
60,1269972666.3995159,8131393.194811983,1278104059.594328,12.69972666399516,0.08131393194811982,12.78104059594328
